Building;z;Floor label prefix;Floorplan label
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;30
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;30.01
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;30.02
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;30.03
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;30.04
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;30.05
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;30.06
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;30.07
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;30.08
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;30.09
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;30.1
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;30.10
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;30.1.01
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;30.11
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;30.12
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;30.2
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;30.3
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;31
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;31.01
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;31.02
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;31.03
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;31.04
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;31.05
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;31.06
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;31.07
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;31.08
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;31.09
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;31.1
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;31.10
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;31.1.01
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;31.1.02
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;31.11
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;31.12
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;31.2
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;31.2.01
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;31.2.02
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;31.3
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;31.3.01
"ACADEMIC HUB - MAIN BUILDING (BUILDING 901) (id: 1711)";2.0;901;31.3.02
